"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2007","Romania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","40,411.5",""
"2007","Romania","Terajoule","All products","Gross inland consumption","1,691,947",""
"2007","Slovenia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","7,336.2",""
"2007","Slovenia","Terajoule","All products","Gross inland consumption","307,152",""
"2007","Slovakia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","17,854.8",""
"2007","Slovakia","Terajoule","All products","Gross inland consumption","747,543",""
"2007","Finland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","37,296.9",""
"2007","Finland","Terajoule","All products","Gross inland consumption","1,561,546",""
"2007","Sweden","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","49,557.6",""
"2007","Sweden","Terajoule","All products","Gross inland consumption","2,074,877",""
"2007","United Kingdom","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","222,563.3",""
"2007","United Kingdom","Terajoule","All products","Gross inland consumption","9,318,280",""
"2007","Iceland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,911.0",""
"2007","Iceland","Terajoule","All products","Gross inland consumption","205,614",""
"2007","Norway","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","27,978.1",""
"2007","Norway","Terajoule","All products","Gross inland consumption","1,171,388",""
"2007","Montenegro","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,136.4",""
"2007","Montenegro","Terajoule","All products","Gross inland consumption","47,578",""
"2007","Former Yugoslav Republic of Macedonia, the","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","3,021.3",""
"2007","Former Yugoslav Republic of Macedonia, the","Terajoule","All products","Gross inland consumption","126,495",""
"2007","Albania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,015.4",""
"2007","Albania","Terajoule","All products","Gross inland consumption","84,382",""
"2007","Serbia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","16,510.0",""
"2007","Serbia","Terajoule","All products","Gross inland consumption","691,239",""
"2007","Turkey","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","101,358.5",""
"2007","Turkey","Terajoule","All products","Gross inland consumption","4,243,678",""
"2007","Bosnia and Herzegovina","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","3,988.9","p"
"2007","Bosnia and Herzegovina","Terajoule","All products","Gross inland consumption","167,007","p"
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,049.3",""
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Terajoule","All products","Gross inland consumption","85,800",""
"2007","Moldova","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","3,396.7","p"
"2007","Moldova","Terajoule","All products","Gross inland consumption","142,213","p"
"2007","Ukraine","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","138,862.6",""
"2007","Ukraine","Terajoule","All products","Gross inland consumption","5,813,901",""
"2008","European Union (28 countries)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,804,391.1",""
"2008","European Union (28 countries)","Terajoule","All products","Gross inland consumption","75,546,247",""
"2008","Euro area (19 countries)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,275,980.6",""
"2008","Euro area (19 countries)","Terajoule","All products","Gross inland consumption","53,422,758",""
"2008","Belgium","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","59,244.1",""
"2008","Belgium","Terajoule","All products","Gross inland consumption","2,480,430",""
"2008","Bulgaria","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","19,926.4",""
"2008","Bulgaria","Terajoule","All products","Gross inland consumption","834,277",""
"2008","Czech Republic","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","45,598.5",""
"2008","Czech Republic","Terajoule","All products","Gross inland consumption","1,909,118",""
"2008","Denmark","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","19,678.1",""
"2008","Denmark","Terajoule","All products","Gross inland consumption","823,883",""
"2008","Germany (until 1990 former territory of the FRG)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","337,194.6",""
"2008","Germany (until 1990 former territory of the FRG)","Terajoule","All products","Gross inland consumption","14,117,662",""
"2008","Estonia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","5,943.8",""
"2008","Estonia","Terajoule","All products","Gross inland consumption","248,855",""
"2008","Ireland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","15,710.6",""
"2008","Ireland","Terajoule","All products","Gross inland consumption","657,772",""
"2008","Greece","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","31,836.4",""
"2008","Greece","Terajoule","All products","Gross inland consumption","1,332,927",""
"2008","Spain","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","141,778.9",""
"2008","Spain","Terajoule","All products","Gross inland consumption","5,935,999",""
"2008","France","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","271,004.0",""
"2008","France","Terajoule","All products","Gross inland consumption","11,346,397",""
"2008","Croatia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","9,857.2",""
"2008","Croatia","Terajoule","All products","Gross inland consumption","412,702",""
"2008","Italy","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","186,337.1",""
"2008","Italy","Terajoule","All products","Gross inland consumption","7,801,562",""
"2008","Cyprus","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,897.2",""
"2008","Cyprus","Terajoule","All products","Gross inland consumption","121,301",""
"2008","Latvia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,694.4",""
"2008","Latvia","Terajoule","All products","Gross inland consumption","196,543",""
"2008","Lithuania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","9,278.5",""
"2008","Lithuania","Terajoule","All products","Gross inland consumption","388,473",""
"2008","Luxembourg","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,631.6",""
"2008","Luxembourg","Terajoule","All products","Gross inland consumption","193,915",""
"2008","Hungary","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","26,629.6",""
"2008","Hungary","Terajoule","All products","Gross inland consumption","1,114,930",""
"2008","Malta","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","967.7",""
"2008","Malta","Terajoule","All products","Gross inland consumption","40,517",""
"2008","Netherlands","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","82,941.0",""
"2008","Netherlands","Terajoule","All products","Gross inland consumption","3,472,572",""
"2008","Austria","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","34,074.9",""
"2008","Austria","Terajoule","All products","Gross inland consumption","1,426,647",""
"2008","Poland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","97,893.2",""
"2008","Poland","Terajoule","All products","Gross inland consumption","4,098,591",""
"2008","Portugal","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","25,414.2",""
"2008","Portugal","Terajoule","All products","Gross inland consumption","1,064,044",""
"2008","Romania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","40,276.6",""
"2008","Romania","Terajoule","All products","Gross inland consumption","1,686,301",""
"2008","Slovenia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","7,756.2",""
