"region","innvandringskategori","landbakgrunn","Personer 2010","Personer 2011","Personer 2012","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017"
"0211 Vestby","Innvandrere","Ukraina",13,12,13,14,12,14,17,18
"0211 Vestby","Innvandrere","Ungarn",17,20,26,33,29,30,34,43
"0211 Vestby","Innvandrere","Vatikanstaten",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Østerrike",4,4,4,5,7,9,10,10
"0211 Vestby","Innvandrere","Algerie",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Angola",0,0,0,0,0,0,3,3
"0211 Vestby","Innvandrere","Benin",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Botswana",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Det britiske territoriet i Indiahavet",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Burkina Faso",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Burundi",0,3,0,0,0,3,0,3
"0211 Vestby","Innvandrere","Djibouti",0,0,0,3,3,0,3,0
"0211 Vestby","Innvandrere","Egypt",0,3,3,3,3,5,6,5
"0211 Vestby","Innvandrere","Ekvatorial-Guinea",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Elfenbeinskysten",3,0,0,3,0,0,0,0
"0211 Vestby","Innvandrere","Eritrea",11,13,21,23,29,40,57,61
"0211 Vestby","Innvandrere","Etiopia",9,9,15,16,21,23,21,21
"0211 Vestby","Innvandrere","Gabon",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Gambia",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Ghana",3,3,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Guinea",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Guinea-Bissau",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Kamerun",0,0,0,0,0,3,3,0
"0211 Vestby","Innvandrere","Kapp Verde",3,3,0,3,3,0,0,0
"0211 Vestby","Innvandrere","Kenya",0,0,3,3,3,3,6,4
"0211 Vestby","Innvandrere","Komorene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Kongo",3,3,3,0,3,3,3,3
"0211 Vestby","Innvandrere","Kongo-Brazzaville",0,0,3,0,0,0,0,0
"0211 Vestby","Innvandrere","Lesotho",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Liberia",0,0,0,0,0,3,0,0
"0211 Vestby","Innvandrere","Libya",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Madagaskar",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Malawi",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Mali",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Marokko",0,0,0,0,0,0,3,4
"0211 Vestby","Innvandrere","Mauritania",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Mauritius",3,3,3,3,3,0,3,3
"0211 Vestby","Innvandrere","Mayotte",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Mosambik",3,0,3,0,0,3,3,3
"0211 Vestby","Innvandrere","Namibia",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Niger",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Nigeria",3,3,4,3,4,3,3,3
"0211 Vestby","Innvandrere","Réunion",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Rwanda",0,0,0,0,0,3,3,3
"0211 Vestby","Innvandrere","São Tomé og Príncipe",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Senegal",0,0,0,0,0,3,3,0
"0211 Vestby","Innvandrere","Den sentralafrikanske republikk",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Seychellene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Sierra Leone",0,0,0,0,0,3,0,0
"0211 Vestby","Innvandrere","Somalia",75,98,110,124,117,96,85,80
"0211 Vestby","Innvandrere","St. Helena",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Sudan",0,0,0,4,8,10,12,17
"0211 Vestby","Innvandrere","Swaziland",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Sør-Afrika",3,3,3,3,0,0,0,0
"0211 Vestby","Innvandrere","Sør-Sudan",0,0,0,0,0,0,0,3
"0211 Vestby","Innvandrere","Tanzania",0,0,0,0,0,0,0,3
"0211 Vestby","Innvandrere","Togo",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Tsjad",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Tunisia",7,10,11,14,13,12,15,14
"0211 Vestby","Innvandrere","Uganda",4,5,6,6,5,8,7,8
"0211 Vestby","Innvandrere","Vest-Sahara",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Zambia",0,0,3,3,3,3,3,0
"0211 Vestby","Innvandrere","Zimbabwe",0,0,0,3,0,3,0,3
"0211 Vestby","Innvandrere","Afghanistan",9,10,28,33,35,40,44,57
"0211 Vestby","Innvandrere","Armenia",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Aserbajdsjan",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Bahrain",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Bangladesh",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Bhutan",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Brunei",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Filippinene",52,63,63,72,76,80,86,84
"0211 Vestby","Innvandrere","De forente arabiske emirater",3,0,0,3,3,0,0,3
"0211 Vestby","Innvandrere","Georgia",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Hongkong",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","India",12,13,13,13,18,18,20,20
"0211 Vestby","Innvandrere","Indonesia",0,0,3,0,0,0,0,0
"0211 Vestby","Innvandrere","Irak",67,76,72,87,74,68,78,87
"0211 Vestby","Innvandrere","Iran",45,43,42,42,45,38,44,50
"0211 Vestby","Innvandrere","Israel",0,3,3,5,5,3,3,3
"0211 Vestby","Innvandrere","Japan",4,4,4,4,3,3,3,4
"0211 Vestby","Innvandrere","Jemen",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Jordan",3,0,3,0,0,0,0,0
"0211 Vestby","Innvandrere","Kambodsja",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Kasakhstan",3,3,6,6,5,4,4,4
"0211 Vestby","Innvandrere","Kina",9,10,12,13,14,14,14,13
"0211 Vestby","Innvandrere","Kirgisistan",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Kuwait",0,0,0,3,3,0,0,0
"0211 Vestby","Innvandrere","Kypros",3,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Laos",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Libanon",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Macao",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Malaysia",3,3,0,3,3,0,3,0
"0211 Vestby","Innvandrere","Maldivene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Mongolia",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Myanmar",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Nepal",0,4,4,3,6,0,3,4
"0211 Vestby","Innvandrere","Nord-Korea",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Oman",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Pakistan",44,43,42,42,50,54,58,63
"0211 Vestby","Innvandrere","Palestina",0,3,3,3,3,3,3,3
"0211 Vestby","Innvandrere","Qatar",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Saudi-Arabia",0,0,0,0,0,0,0,3
"0211 Vestby","Innvandrere","Singapore",0,0,0,3,3,3,0,3
"0211 Vestby","Innvandrere","Sri Lanka",0,3,3,3,4,4,6,7
"0211 Vestby","Innvandrere","Syria",6,6,6,9,14,12,17,31
"0211 Vestby","Innvandrere","Sør-Korea",3,3,3,3,3,3,5,6
"0211 Vestby","Innvandrere","Tadsjikistan",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Taiwan",4,4,4,3,3,3,4,3
"0211 Vestby","Innvandrere","Thailand",35,36,40,43,43,44,51,51
"0211 Vestby","Innvandrere","Turkmenistan",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Usbekistan",3,0,3,0,3,0,0,0
"0211 Vestby","Innvandrere","Vietnam",40,40,41,50,56,55,56,62
"0211 Vestby","Innvandrere","Øst-Timor",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","De amerikanske Jomfruøyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Anguilla",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Antigua og Barbuda",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Aruba",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Bahamas",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Barbados",0,0,3,0,0,0,3,3
"0211 Vestby","Innvandrere","Belize",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Bermuda",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Bonaire, Sint Eustatius og Saba",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","De britiske Jomfruøyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Canada",3,4,4,4,3,6,7,6
"0211 Vestby","Innvandrere","Caymanøyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Costa Rica",3,3,0,0,3,3,3,0
"0211 Vestby","Innvandrere","Cuba",5,5,7,7,6,6,7,9
"0211 Vestby","Innvandrere","Curaçao",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Dominica",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Den dominikanske republikk",3,3,3,3,3,5,3,0
"0211 Vestby","Innvandrere","El Salvador",3,3,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Franske Antiller",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Grenada",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Guadeloupe",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Guatemala",0,0,0,0,0,0,0,3
"0211 Vestby","Innvandrere","Haiti",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Honduras",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Jamaica",0,0,0,3,3,3,0,0
"0211 Vestby","Innvandrere","Martinique",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Mexico",5,5,5,5,5,6,5,8
"0211 Vestby","Innvandrere","Montserrat",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","De nederlandske antillene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Nicaragua",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Panama",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Puerto Rico",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Saint Kitts og Nevis",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Saint Lucia",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Saint Vincent og Grenadinene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Saint-Barthélemy",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Saint-Martin",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Saint-Pierre-et-Miquelon",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Sint Maarten",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Trinidad og Tobago",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Turks- og Caicosøyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","USA",25,23,22,24,27,32,31,32
"0211 Vestby","Innvandrere","Argentina",3,3,3,3,3,3,0,3
"0211 Vestby","Innvandrere","Bolivia",4,4,4,4,4,4,0,0
"0211 Vestby","Innvandrere","Brasil",9,11,12,11,11,10,9,11
"0211 Vestby","Innvandrere","Chile",9,11,13,17,18,19,17,20
"0211 Vestby","Innvandrere","Colombia",4,3,3,3,3,6,7,7
"0211 Vestby","Innvandrere","Ecuador",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Falklandsøyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Fransk Guyana",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Guyana",0,0,0,0,0,0,3,3
"0211 Vestby","Innvandrere","Paraguay",0,0,0,0,0,0,0,3
"0211 Vestby","Innvandrere","Peru",4,3,3,3,3,3,3,0
"0211 Vestby","Innvandrere","Surinam",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Uruguay",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Venezuela",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Amerikansk Samoa",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Australia",0,0,3,3,3,3,4,4
"0211 Vestby","Innvandrere","Christmasøya",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Cookøyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Fiji",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Fransk Polynesia",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Guam",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Kiribati",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Kokosøyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Marshalløyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Mikronesiaføderasjonen",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Mindre stillehavsøyer (am.)",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Nauru",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","New Zealand",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Niue",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Nord-Marianene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Norfolkøya",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Ny-Caledonia",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Palau",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Papua Ny-Guinea",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Pitcairn",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Salomonøyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Samoa",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Tokelau",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Tonga",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Tuvalu",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Vanuatu",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Wallis- og Futunaøyene",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Statsløse",0,0,0,0,0,0,0,0
"0211 Vestby","Innvandrere","Uoppgitt",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Danmark",149,148,149,152,155,168,169,163
"0213 Ski","Innvandrere","Grønland",0,0,0,0,0,0,3,0
"0213 Ski","Innvandrere","Finland",31,33,38,39,39,48,46,51
"0213 Ski","Innvandrere","Færøyene",3,3,0,0,0,0,0,0
"0213 Ski","Innvandrere","Island",19,28,46,48,59,75,79,98
"0213 Ski","Innvandrere","Sverige",231,275,283,286,292,301,325,338
"0213 Ski","Innvandrere","Albania",5,5,5,7,12,23,34,53
"0213 Ski","Innvandrere","Andorra",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Belgia",3,4,4,4,5,5,5,5
"0213 Ski","Innvandrere","Bosnia-Hercegovina",63,73,83,84,82,86,81,84
"0213 Ski","Innvandrere","Bulgaria",4,3,7,8,8,8,11,12
"0213 Ski","Innvandrere","Estland",19,13,22,16,27,29,26,22
"0213 Ski","Innvandrere","Frankrike",14,13,14,12,12,14,14,16
"0213 Ski","Innvandrere","Gibraltar",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Guernsey",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Hellas",5,6,5,12,14,16,20,38
"0213 Ski","Innvandrere","Hviterussland",3,3,3,3,3,3,3,3
"0213 Ski","Innvandrere","Irland",0,3,3,4,5,6,5,5
"0213 Ski","Innvandrere","Italia",8,10,13,12,13,12,15,22
"0213 Ski","Innvandrere","Jersey",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Kosovo",162,167,170,167,182,185,185,189
"0213 Ski","Innvandrere","Kroatia",31,33,29,29,35,34,41,44
"0213 Ski","Innvandrere","Latvia",16,25,30,37,34,36,37,41
"0213 Ski","Innvandrere","Liechtenstein",3,3,0,0,3,0,3,0
"0213 Ski","Innvandrere","Litauen",67,104,132,153,160,169,179,186
"0213 Ski","Innvandrere","Luxembourg",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Makedonia",31,30,32,33,33,36,42,50
"0213 Ski","Innvandrere","Malta",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Man",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Moldova",3,3,3,3,3,4,4,10
"0213 Ski","Innvandrere","Monaco",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Montenegro",6,5,6,4,5,4,6,5
"0213 Ski","Innvandrere","Nederland",32,33,36,42,43,46,41,44
"0213 Ski","Innvandrere","Polen",199,260,343,379,394,391,419,475
"0213 Ski","Innvandrere","Portugal",3,3,3,8,10,9,16,18
"0213 Ski","Innvandrere","Romania",23,20,22,21,25,25,53,75
"0213 Ski","Innvandrere","Russland",47,53,60,64,65,70,82,95
"0213 Ski","Innvandrere","San Marino",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Serbia",12,15,18,22,22,22,23,21
"0213 Ski","Innvandrere","Serbia og Montenegro",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Slovakia",7,12,10,7,9,6,7,12
"0213 Ski","Innvandrere","Slovenia",7,8,10,12,11,11,10,7
"0213 Ski","Innvandrere","Spania",14,17,16,17,27,31,48,63
"0213 Ski","Innvandrere","Storbritannia",66,73,73,75,82,78,84,86
"0213 Ski","Innvandrere","Sveits",12,13,14,15,13,14,16,17
"0213 Ski","Innvandrere","Tsjekkia",11,12,12,12,10,14,12,11
"0213 Ski","Innvandrere","Tyrkia",74,77,79,88,92,92,96,93
"0213 Ski","Innvandrere","Tyskland",114,126,120,126,120,118,128,141
"0213 Ski","Innvandrere","Ukraina",9,9,13,14,17,17,14,16
"0213 Ski","Innvandrere","Ungarn",7,8,12,17,19,21,11,12
"0213 Ski","Innvandrere","Vatikanstaten",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Østerrike",9,8,5,6,8,9,13,13
"0213 Ski","Innvandrere","Algerie",10,6,6,5,5,6,7,7
"0213 Ski","Innvandrere","Angola",0,0,3,0,0,0,0,0
"0213 Ski","Innvandrere","Benin",0,0,3,0,0,0,0,0
"0213 Ski","Innvandrere","Botswana",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Det britiske territoriet i Indiahavet",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Burkina Faso",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Burundi",11,9,10,10,10,9,5,5
"0213 Ski","Innvandrere","Djibouti",0,0,0,0,0,0,3,0
"0213 Ski","Innvandrere","Egypt",12,14,16,16,15,12,7,9
"0213 Ski","Innvandrere","Ekvatorial-Guinea",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Elfenbeinskysten",0,0,0,0,0,0,0,3
"0213 Ski","Innvandrere","Eritrea",48,48,54,70,73,89,132,144
"0213 Ski","Innvandrere","Etiopia",26,31,35,39,39,45,50,50
"0213 Ski","Innvandrere","Gabon",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Gambia",8,8,8,12,11,11,11,11
"0213 Ski","Innvandrere","Ghana",3,3,3,0,3,6,4,7
"0213 Ski","Innvandrere","Guinea",0,0,0,0,0,0,3,0
"0213 Ski","Innvandrere","Guinea-Bissau",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Kamerun",5,5,4,4,4,3,5,6
"0213 Ski","Innvandrere","Kapp Verde",4,4,4,4,4,4,3,3
"0213 Ski","Innvandrere","Kenya",11,10,7,9,7,5,6,8
"0213 Ski","Innvandrere","Komorene",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Kongo",8,11,14,12,17,20,16,18
"0213 Ski","Innvandrere","Kongo-Brazzaville",3,0,0,3,0,0,0,0
"0213 Ski","Innvandrere","Lesotho",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Liberia",0,0,0,0,0,0,3,3
"0213 Ski","Innvandrere","Libya",0,0,5,4,4,4,3,5
"0213 Ski","Innvandrere","Madagaskar",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Malawi",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Mali",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Marokko",16,18,17,19,17,16,21,21
"0213 Ski","Innvandrere","Mauritania",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Mauritius",0,0,0,3,3,3,0,0
"0213 Ski","Innvandrere","Mayotte",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Mosambik",0,0,0,0,0,3,0,0
"0213 Ski","Innvandrere","Namibia",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Niger",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Nigeria",11,13,9,9,8,11,11,11
"0213 Ski","Innvandrere","Réunion",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Rwanda",17,16,18,17,18,13,12,10
"0213 Ski","Innvandrere","São Tomé og Príncipe",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Senegal",0,0,3,3,3,0,0,0
"0213 Ski","Innvandrere","Den sentralafrikanske republikk",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Seychellene",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Sierra Leone",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Somalia",71,75,79,77,101,107,141,158
"0213 Ski","Innvandrere","St. Helena",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Sudan",6,7,8,8,13,17,17,19
"0213 Ski","Innvandrere","Swaziland",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Sør-Afrika",0,4,3,0,3,0,3,4
"0213 Ski","Innvandrere","Sør-Sudan",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Tanzania",0,3,3,3,3,3,3,3
"0213 Ski","Innvandrere","Togo",0,3,0,3,3,3,0,0
"0213 Ski","Innvandrere","Tsjad",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Tunisia",5,3,4,6,6,6,9,8
"0213 Ski","Innvandrere","Uganda",4,4,4,4,4,3,7,8
"0213 Ski","Innvandrere","Vest-Sahara",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Zambia",0,0,0,0,0,3,4,7
"0213 Ski","Innvandrere","Zimbabwe",0,0,0,3,3,3,3,3
"0213 Ski","Innvandrere","Afghanistan",29,30,37,53,61,64,65,71
"0213 Ski","Innvandrere","Armenia",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Aserbajdsjan",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Bahrain",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Bangladesh",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Bhutan",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Brunei",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Filippinene",76,95,107,117,115,115,117,113
"0213 Ski","Innvandrere","De forente arabiske emirater",0,0,3,3,3,3,3,3
"0213 Ski","Innvandrere","Georgia",0,0,0,0,3,3,3,3
"0213 Ski","Innvandrere","Hongkong",0,3,3,3,3,0,3,3
"0213 Ski","Innvandrere","India",30,29,29,30,30,28,31,30
"0213 Ski","Innvandrere","Indonesia",3,0,3,3,3,0,3,4
"0213 Ski","Innvandrere","Irak",213,220,228,226,228,226,242,251
"0213 Ski","Innvandrere","Iran",125,126,123,122,126,133,120,125
"0213 Ski","Innvandrere","Israel",6,6,3,5,5,5,6,6
"0213 Ski","Innvandrere","Japan",3,3,3,3,0,3,3,3
"0213 Ski","Innvandrere","Jemen",0,3,0,3,3,3,0,3
"0213 Ski","Innvandrere","Jordan",0,3,3,0,3,3,0,0
"0213 Ski","Innvandrere","Kambodsja",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Kasakhstan",3,0,0,0,0,0,3,3
"0213 Ski","Innvandrere","Kina",25,35,42,48,45,45,49,63
"0213 Ski","Innvandrere","Kirgisistan",0,0,0,0,0,0,3,3
"0213 Ski","Innvandrere","Kuwait",3,3,3,3,0,3,0,0
"0213 Ski","Innvandrere","Kypros",0,0,0,0,0,0,0,3
"0213 Ski","Innvandrere","Laos",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Libanon",12,12,11,9,7,7,10,13
"0213 Ski","Innvandrere","Macao",0,0,3,3,3,0,0,3
"0213 Ski","Innvandrere","Malaysia",3,3,3,3,3,0,0,3
"0213 Ski","Innvandrere","Maldivene",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Mongolia",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Myanmar",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Nepal",4,3,3,3,7,6,3,4
"0213 Ski","Innvandrere","Nord-Korea",0,0,0,3,0,0,0,0
"0213 Ski","Innvandrere","Oman",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Pakistan",120,118,113,116,135,133,146,149
"0213 Ski","Innvandrere","Palestina",8,8,9,7,7,9,8,11
"0213 Ski","Innvandrere","Qatar",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Saudi-Arabia",0,0,3,0,3,3,3,3
"0213 Ski","Innvandrere","Singapore",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Sri Lanka",20,20,21,19,19,19,21,19
"0213 Ski","Innvandrere","Syria",19,21,21,22,21,31,66,97
"0213 Ski","Innvandrere","Sør-Korea",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Tadsjikistan",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Taiwan",0,0,0,0,0,0,3,0
"0213 Ski","Innvandrere","Thailand",65,63,65,65,69,79,76,82
"0213 Ski","Innvandrere","Turkmenistan",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Usbekistan",0,3,0,5,5,5,5,5
"0213 Ski","Innvandrere","Vietnam",86,88,85,86,87,89,85,91
"0213 Ski","Innvandrere","Øst-Timor",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","De amerikanske Jomfruøyene",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Anguilla",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Antigua og Barbuda",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Aruba",0,0,0,0,0,0,0,0
"0213 Ski","Innvandrere","Bahamas",0,0,0,0,0,0,0,0
